,Activity
6131,LAYING
6775,WALKING_UPSTAIRS
675,WALKING_UPSTAIRS
9500,WALKING
7624,WALKING_DOWNSTAIRS
6039,WALKING_UPSTAIRS
8785,LAYING
641,WALKING_DOWNSTAIRS
5070,STANDING
7101,WALKING_DOWNSTAIRS
4283,LAYING
5559,LAYING
2176,WALKING_DOWNSTAIRS
1933,SITTING
9037,WALKING_UPSTAIRS
1183,SITTING
7772,WALKING_DOWNSTAIRS
8640,WALKING
1479,STANDING
6255,STANDING
8250,WALKING_UPSTAIRS
1755,WALKING_UPSTAIRS
5472,WALKING_UPSTAIRS
4674,WALKING_UPSTAIRS
10191,LAYING
7776,WALKING_DOWNSTAIRS
6512,SITTING
785,WALKING
1462,WALKING_UPSTAIRS
7142,WALKING_UPSTAIRS
2911,SITTING
3951,WALKING_UPSTAIRS
6327,SITTING
9111,LAYING
6737,WALKING
1156,STANDING
5676,STANDING
3696,LAYING
9205,STANDING
3379,WALKING
3579,WALKING_UPSTAIRS
5351,LAYING
3175,WALKING
4753,SITTING
9938,STANDING
8422,STANDING
4524,WALKING_DOWNSTAIRS
9027,WALKING_UPSTAIRS
6197,WALKING_DOWNSTAIRS
8874,STANDING
231,SITTING
4225,SITTING
3976,STANDING
7593,WALKING
5787,WALKING
3116,SITTING
9186,WALKING_UPSTAIRS
10145,SITTING
6377,WALKING
4280,LAYING
1967,LAYING
751,LAYING
4687,WALKING_UPSTAIRS
9030,WALKING_UPSTAIRS
6575,WALKING
432,LAYING
4871,WALKING_DOWNSTAIRS
7148,WALKING_DOWNSTAIRS
1465,WALKING_UPSTAIRS
6833,SITTING
4707,STANDING
8536,WALKING_UPSTAIRS
3223,WALKING_UPSTAIRS
5105,SITTING
1022,SITTING
1982,WALKING
6658,SITTING
1786,STANDING
9657,LAYING
8701,WALKING_UPSTAIRS
7922,WALKING
4380,STANDING
3021,WALKING_DOWNSTAIRS
6638,STANDING
4972,LAYING
8952,LAYING
7544,SITTING
517,WALKING_UPSTAIRS
5806,WALKING
2104,SITTING
5941,LAYING
6664,SITTING
4030,SITTING
4443,LAYING
5939,SITTING
6544,LAYING
8707,WALKING_UPSTAIRS
1603,WALKING_UPSTAIRS
2366,WALKING_UPSTAIRS
7185,STANDING
8691,WALKING_UPSTAIRS
803,WALKING_DOWNSTAIRS
1962,LAYING
4177,STANDING
6705,LAYING
7102,WALKING_DOWNSTAIRS
7182,STANDING
2134,LAYING
9257,SITTING
2006,WALKING
2310,WALKING
7407,LAYING
4781,LAYING
1002,STANDING
4057,LAYING
4261,LAYING
7288,WALKING
3440,STANDING
602,LAYING
4155,WALKING_UPSTAIRS
5677,STANDING
5349,LAYING
10186,LAYING
7676,STANDING
9611,SITTING
2806,WALKING
554,SITTING
6643,STANDING
58,LAYING
4999,WALKING
6295,SITTING
3913,WALKING
6320,SITTING
1655,SITTING
3407,WALKING_UPSTAIRS
2259,SITTING
2564,STANDING
9589,STANDING
6656,SITTING
9377,WALKING_DOWNSTAIRS
2942,LAYING
9571,STANDING
3752,WALKING_DOWNSTAIRS
5415,WALKING
3639,STANDING
1164,STANDING
1377,LAYING
8207,WALKING
9475,LAYING
7539,SITTING
7498,WALKING_UPSTAIRS
7466,WALKING_DOWNSTAIRS
3691,LAYING
1553,WALKING
5094,STANDING
1772,STANDING
9215,STANDING
5811,WALKING
9051,STANDING
5126,SITTING
10033,WALKING
5607,WALKING
8053,WALKING
7699,SITTING
6574,WALKING
4499,WALKING_DOWNSTAIRS
3664,SITTING
8833,WALKING_DOWNSTAIRS
9050,STANDING
9575,STANDING
5006,WALKING
4292,LAYING
4721,STANDING
2961,LAYING
1686,LAYING
9668,LAYING
8153,SITTING
2023,WALKING_DOWNSTAIRS
7956,WALKING_UPSTAIRS
9287,LAYING
4162,WALKING_DOWNSTAIRS
4830,WALKING_DOWNSTAIRS
7225,SITTING
765,LAYING
2846,WALKING_DOWNSTAIRS
8832,WALKING_DOWNSTAIRS
7342,WALKING_UPSTAIRS
5822,WALKING_DOWNSTAIRS
6653,STANDING
3970,STANDING
4591,SITTING
7416,LAYING
2659,WALKING_DOWNSTAIRS
2171,WALKING_DOWNSTAIRS
5662,WALKING_UPSTAIRS
9591,STANDING
2903,STANDING
9863,WALKING
7612,WALKING_DOWNSTAIRS
3277,STANDING
4273,LAYING
1422,WALKING
3232,WALKING_UPSTAIRS
8597,SITTING
8121,STANDING
636,WALKING
8283,SITTING
5175,WALKING
7259,LAYING
8880,STANDING
7178,STANDING
2515,WALKING_DOWNSTAIRS
8528,WALKING_DOWNSTAIRS
5458,WALKING_UPSTAIRS
835,WALKING_UPSTAIRS
3665,SITTING
4725,STANDING
521,WALKING_UPSTAIRS
745,LAYING
8381,WALKING_DOWNSTAIRS
7442,WALKING
9712,WALKING_DOWNSTAIRS
9514,WALKING_DOWNSTAIRS
3917,WALKING
9048,STANDING
3410,WALKING_UPSTAIRS
6691,LAYING
2020,WALKING_DOWNSTAIRS
3958,WALKING_DOWNSTAIRS
6609,WALKING_UPSTAIRS
6824,STANDING
6763,WALKING_DOWNSTAIRS
1254,WALKING
9646,LAYING
7286,WALKING
5288,STANDING
5237,WALKING_UPSTAIRS
3850,SITTING
7517,STANDING
5671,WALKING_UPSTAIRS
934,WALKING
6648,STANDING
8888,STANDING
6018,WALKING_DOWNSTAIRS
7626,WALKING_DOWNSTAIRS
5533,SITTING
8736,STANDING
5733,SITTING
6292,SITTING
4039,SITTING
670,WALKING_UPSTAIRS
2521,WALKING_UPSTAIRS
9604,SITTING
5135,SITTING
5520,SITTING
4880,STANDING
4265,LAYING
6067,STANDING
1376,LAYING
498,WALKING_UPSTAIRS
10199,LAYING
5915,SITTING
500,WALKING_UPSTAIRS
8522,WALKING_DOWNSTAIRS
1418,WALKING
9748,STANDING
3031,WALKING_UPSTAIRS
5309,SITTING
5861,WALKING_UPSTAIRS
8068,WALKING_DOWNSTAIRS
6493,SITTING
6779,WALKING_UPSTAIRS
9368,WALKING_UPSTAIRS
6102,SITTING
9533,WALKING_UPSTAIRS
6514,SITTING
7542,SITTING
4373,STANDING
6282,STANDING
2373,WALKING_UPSTAIRS
4814,WALKING
63,LAYING
3097,SITTING
6781,WALKING_UPSTAIRS
7381,STANDING
6397,WALKING
6676,SITTING
5950,LAYING
10279,WALKING_UPSTAIRS
8613,LAYING
5037,WALKING_DOWNSTAIRS
5249,WALKING_UPSTAIRS
9675,WALKING
125,WALKING_DOWNSTAIRS
1399,WALKING
7764,WALKING
4270,LAYING
1236,LAYING
8430,SITTING
3979,STANDING
8898,STANDING
7034,LAYING
4820,WALKING
9875,WALKING_DOWNSTAIRS
2282,LAYING
7679,STANDING
222,LAYING
7236,LAYING
7955,WALKING_UPSTAIRS
4556,STANDING
9117,LAYING
551,STANDING
2527,WALKING_UPSTAIRS
2470,WALKING
9434,SITTING
4372,WALKING_UPSTAIRS
5491,STANDING
2551,STANDING
1771,STANDING
6934,WALKING_DOWNSTAIRS
7651,WALKING_UPSTAIRS
8282,SITTING
9282,LAYING
4736,SITTING
4470,LAYING
5399,WALKING
2164,WALKING
1763,STANDING
9471,LAYING
8306,LAYING
2291,LAYING
2626,LAYING
2657,WALKING
6457,STANDING
1056,LAYING
3430,STANDING
7566,LAYING
8713,WALKING_UPSTAIRS
4996,WALKING
9389,STANDING
9476,LAYING
1556,WALKING
2127,LAYING
2937,SITTING
3598,WALKING_DOWNSTAIRS
166,WALKING_UPSTAIRS
1052,LAYING
1346,SITTING
7669,STANDING
9649,LAYING
2692,WALKING_UPSTAIRS
1342,STANDING
3490,SITTING
124,WALKING
645,WALKING_DOWNSTAIRS
2513,WALKING_DOWNSTAIRS
6808,STANDING
8647,WALKING
3878,LAYING
322,WALKING_UPSTAIRS
7239,LAYING
4985,WALKING
6306,SITTING
9151,WALKING
5772,LAYING
7836,STANDING
5199,WALKING
9024,WALKING_UPSTAIRS
159,WALKING_UPSTAIRS
5269,WALKING_UPSTAIRS
8357,WALKING
1824,LAYING
10029,WALKING
49,SITTING
5856,WALKING_DOWNSTAIRS
6879,LAYING
9327,WALKING
7149,WALKING_DOWNSTAIRS
8072,WALKING_DOWNSTAIRS
7763,WALKING
9839,LAYING
45,SITTING
9190,WALKING_UPSTAIRS
7801,WALKING_UPSTAIRS
698,STANDING
1237,LAYING
5389,WALKING
4036,SITTING
1316,STANDING
2284,LAYING
10260,WALKING_UPSTAIRS
6858,SITTING
4958,LAYING
8252,WALKING_DOWNSTAIRS
9343,WALKING_UPSTAIRS
3215,WALKING_UPSTAIRS
3571,WALKING_DOWNSTAIRS
7703,SITTING
1119,WALKING_DOWNSTAIRS
6088,STANDING
6358,LAYING
2628,LAYING
386,SITTING
8290,SITTING
2088,SITTING
6603,WALKING_UPSTAIRS
6353,LAYING
905,LAYING
2034,WALKING_UPSTAIRS
3480,SITTING
10217,WALKING
330,WALKING_DOWNSTAIRS
3346,LAYING
328,WALKING_UPSTAIRS
9935,STANDING
7382,STANDING
8609,LAYING
8181,LAYING
8706,WALKING_UPSTAIRS
2207,WALKING_UPSTAIRS
2624,LAYING
3512,LAYING
8020,LAYING
4700,STANDING
688,STANDING
6671,SITTING
9131,WALKING
7973,STANDING
5725,SITTING
9059,STANDING
8550,WALKING_UPSTAIRS
6725,WALKING
9889,WALKING_DOWNSTAIRS
8407,STANDING
5352,LAYING
9747,STANDING
5664,WALKING_UPSTAIRS
3182,WALKING
8270,STANDING
10039,WALKING
3508,LAYING
1717,WALKING_DOWNSTAIRS
10297,WALKING_UPSTAIRS
2340,WALKING_DOWNSTAIRS
4638,WALKING
6882,LAYING
3813,STANDING
9961,SITTING
2916,SITTING
9840,LAYING
3205,WALKING_DOWNSTAIRS
6400,WALKING_DOWNSTAIRS
280,WALKING
2632,WALKING
2608,LAYING
2300,LAYING
669,WALKING_UPSTAIRS
7462,WALKING_DOWNSTAIRS
4437,LAYING
10083,WALKING_UPSTAIRS
3309,SITTING
37,SITTING
1894,WALKING_UPSTAIRS
7315,WALKING_DOWNSTAIRS
1407,WALKING
8916,SITTING
7653,WALKING_UPSTAIRS
6307,SITTING
9973,SITTING
8038,LAYING
3095,SITTING
7803,WALKING_UPSTAIRS
4053,SITTING
9596,STANDING
119,WALKING
3823,STANDING
47,SITTING
9040,WALKING_UPSTAIRS
2519,WALKING_UPSTAIRS
1446,WALKING_DOWNSTAIRS
5699,STANDING
6754,WALKING_DOWNSTAIRS
7074,WALKING
3187,WALKING
5040,WALKING_UPSTAIRS
1568,WALKING
6719,LAYING
5864,WALKING_UPSTAIRS
9113,LAYING
8225,WALKING_DOWNSTAIRS
3030,WALKING_UPSTAIRS
4429,SITTING
2474,WALKING
1707,WALKING
9871,WALKING_DOWNSTAIRS
1733,WALKING_DOWNSTAIRS
293,WALKING
505,WALKING_UPSTAIRS
4063,LAYING
10203,LAYING
9576,STANDING
5874,STANDING
1069,LAYING
3133,LAYING
3886,LAYING
5125,SITTING
9643,LAYING
3200,WALKING_DOWNSTAIRS
7077,WALKING
23,STANDING
1981,WALKING
2668,WALKING_DOWNSTAIRS
6297,SITTING
5708,SITTING
8271,STANDING
6776,WALKING_UPSTAIRS
9099,SITTING
7697,SITTING
5378,LAYING
1635,STANDING
6624,WALKING_UPSTAIRS
5354,LAYING
6329,LAYING
9688,WALKING
8148,SITTING
4080,LAYING
4274,LAYING
6189,WALKING
4609,LAYING
5393,WALKING
10044,WALKING
9869,WALKING
10147,SITTING
4875,WALKING_UPSTAIRS
1165,STANDING
8876,STANDING
317,WALKING_UPSTAIRS
4662,WALKING_DOWNSTAIRS
9612,SITTING
6059,STANDING
7193,STANDING
6932,WALKING_DOWNSTAIRS
5096,STANDING
3661,SITTING
282,WALKING
754,LAYING
8757,SITTING
8494,WALKING
2796,LAYING
626,WALKING
6286,SITTING
8191,WALKING
3177,WALKING
1064,LAYING
9325,WALKING
312,WALKING_UPSTAIRS
2323,WALKING
7244,LAYING
10118,STANDING
5259,WALKING_UPSTAIRS
3971,STANDING
9247,SITTING
2592,SITTING
9957,SITTING
5402,WALKING
7110,WALKING_DOWNSTAIRS
1219,LAYING
6745,WALKING
25,STANDING
9312,WALKING
9958,SITTING
2890,STANDING
1701,WALKING
7905,WALKING
2272,SITTING
9982,SITTING
2516,WALKING_UPSTAIRS
7574,LAYING
5128,SITTING
1794,SITTING
7492,WALKING_UPSTAIRS
3860,SITTING
5159,LAYING
7105,WALKING_DOWNSTAIRS
8349,WALKING
9029,WALKING_UPSTAIRS
9555,WALKING_DOWNSTAIRS
9330,WALKING
2050,WALKING_UPSTAIRS
6984,STANDING
2160,WALKING
7929,WALKING_DOWNSTAIRS
5936,SITTING
921,WALKING
6801,STANDING
4589,SITTING
3065,STANDING
8809,WALKING
4077,LAYING
9977,SITTING
7366,STANDING
5413,WALKING
458,WALKING
8901,SITTING
342,WALKING_DOWNSTAIRS
1929,SITTING
7891,LAYING
6523,LAYING
1600,WALKING_UPSTAIRS
651,WALKING_DOWNSTAIRS
3226,WALKING_UPSTAIRS
6074,STANDING
3206,WALKING_DOWNSTAIRS
3876,LAYING
3797,STANDING
9803,SITTING
6548,LAYING
5203,WALKING
1041,SITTING
728,SITTING
1502,SITTING
9342,WALKING_UPSTAIRS
2397,STANDING
1779,STANDING
3264,STANDING
9733,WALKING_UPSTAIRS
1926,SITTING
6008,WALKING_DOWNSTAIRS
5345,LAYING
6,STANDING
8999,WALKING_DOWNSTAIRS
7094,WALKING
5509,STANDING
4663,WALKING_DOWNSTAIRS
1859,WALKING
9095,SITTING
6996,SITTING
3525,LAYING
8811,WALKING
7660,STANDING
3401,WALKING_DOWNSTAIRS
7144,WALKING_UPSTAIRS
8568,STANDING
2559,STANDING
8070,WALKING_DOWNSTAIRS
5068,STANDING
8026,LAYING
1207,SITTING
2969,LAYING
5780,LAYING
1885,WALKING_UPSTAIRS
9447,SITTING
6692,LAYING
685,WALKING_UPSTAIRS
4851,WALKING_DOWNSTAIRS
7058,LAYING
9045,STANDING
9493,WALKING
3642,STANDING
3493,LAYING
1993,WALKING
3208,WALKING_DOWNSTAIRS
8592,SITTING
1263,WALKING
1898,WALKING_UPSTAIRS
7413,LAYING
10223,WALKING
8804,WALKING
7649,WALKING_UPSTAIRS
586,LAYING
1031,SITTING
5860,WALKING_UPSTAIRS
7603,WALKING
7563,LAYING
563,SITTING
8968,WALKING
8280,STANDING
5211,WALKING_DOWNSTAIRS
5949,LAYING
10061,WALKING_DOWNSTAIRS
3135,LAYING
4199,STANDING
6693,LAYING
8439,SITTING
4221,SITTING
3617,STANDING
5768,LAYING
2901,STANDING
1223,LAYING
9832,LAYING
1964,LAYING
3554,WALKING
4466,LAYING
6959,WALKING_UPSTAIRS
7163,WALKING_UPSTAIRS
421,LAYING
5017,WALKING_DOWNSTAIRS
7777,WALKING_DOWNSTAIRS
7384,SITTING
9236,STANDING
4165,WALKING_DOWNSTAIRS
6974,STANDING
1403,WALKING
4785,LAYING
5786,WALKING
3885,LAYING
4551,STANDING
1760,STANDING
8481,LAYING
1791,SITTING
1228,LAYING
6233,WALKING_UPSTAIRS
270,WALKING
9731,WALKING_UPSTAIRS
6192,WALKING
5243,WALKING_UPSTAIRS
3689,LAYING
4600,LAYING
2353,WALKING_DOWNSTAIRS
2336,WALKING_DOWNSTAIRS
1085,WALKING
1977,LAYING
9228,STANDING
7806,WALKING_UPSTAIRS
6538,LAYING
6174,WALKING
6851,SITTING
9636,SITTING
8061,WALKING
8395,WALKING_UPSTAIRS
6528,LAYING
2041,WALKING_UPSTAIRS
1570,WALKING
3037,WALKING_UPSTAIRS
2925,SITTING
8499,WALKING
9624,SITTING
8607,SITTING
3416,WALKING_DOWNSTAIRS
3834,SITTING
5852,WALKING_DOWNSTAIRS
5086,STANDING
3140,LAYING
541,STANDING
2904,STANDING
2046,WALKING_UPSTAIRS
7810,WALKING_UPSTAIRS
1504,SITTING
6211,WALKING_DOWNSTAIRS
1034,SITTING
6445,WALKING_UPSTAIRS
9492,WALKING
2191,WALKING_DOWNSTAIRS
9147,WALKING
4775,LAYING
5361,LAYING
8447,SITTING
776,WALKING
6000,WALKING
2432,SITTING
1501,SITTING
599,LAYING
8714,STANDING
8672,WALKING_DOWNSTAIRS
5032,WALKING_DOWNSTAIRS
2384,STANDING
8625,LAYING
7989,STANDING
2872,STANDING
10239,WALKING
7981,STANDING
2402,STANDING
6923,WALKING_DOWNSTAIRS
9403,STANDING
6991,STANDING
288,WALKING
10157,SITTING
5080,STANDING
2989,WALKING
5366,LAYING
9298,LAYING
6751,WALKING_DOWNSTAIRS
5057,WALKING_UPSTAIRS
5061,WALKING_UPSTAIRS
9852,WALKING
298,WALKING_DOWNSTAIRS
8019,LAYING
4519,WALKING_UPSTAIRS
2112,LAYING
1939,SITTING
3778,WALKING_UPSTAIRS
5297,STANDING
5019,WALKING_DOWNSTAIRS
3298,SITTING
3562,WALKING_DOWNSTAIRS
5301,STANDING
4490,WALKING
4491,WALKING
9734,WALKING_UPSTAIRS
3557,WALKING
2238,STANDING
3981,STANDING
7710,LAYING
879,SITTING
6743,WALKING
3190,WALKING_DOWNSTAIRS
1661,SITTING
9981,SITTING
7379,STANDING
8850,WALKING_UPSTAIRS
3001,WALKING_DOWNSTAIRS
5039,WALKING_DOWNSTAIRS
3609,STANDING
7547,SITTING
1960,LAYING
4312,WALKING
1966,LAYING
2652,WALKING
8370,WALKING_DOWNSTAIRS
7949,WALKING_UPSTAIRS
4281,LAYING
2311,WALKING
862,STANDING
7792,WALKING_UPSTAIRS
3623,STANDING
4980,LAYING
7145,WALKING_UPSTAIRS
3873,LAYING
8828,WALKING_DOWNSTAIRS
2339,WALKING_DOWNSTAIRS
7272,WALKING
10006,LAYING
3536,WALKING
113,WALKING
1653,SITTING
6646,STANDING
4548,STANDING
2535,WALKING_UPSTAIRS
6579,WALKING
4630,LAYING
4990,WALKING
5720,SITTING
9491,WALKING
8321,LAYING
3305,SITTING
3862,LAYING
5952,LAYING
10249,WALKING_DOWNSTAIRS
6897,WALKING
2956,LAYING
7868,SITTING
2449,LAYING
9786,SITTING
1120,WALKING_DOWNSTAIRS
5791,WALKING
7431,WALKING
2715,STANDING
1331,STANDING
3904,WALKING
9546,WALKING_UPSTAIRS
6665,SITTING
6640,STANDING
2096,SITTING
3816,STANDING
7552,SITTING
7677,STANDING
564,SITTING
4239,SITTING
3332,LAYING
611,WALKING
3643,STANDING
1358,SITTING
4349,WALKING_UPSTAIRS
10181,LAYING
3197,WALKING_DOWNSTAIRS
2374,WALKING_UPSTAIRS
8315,LAYING
9315,WALKING
7318,WALKING_DOWNSTAIRS
5959,LAYING
7267,WALKING
969,WALKING_UPSTAIRS
2625,LAYING
4180,STANDING
7898,WALKING
4422,SITTING
2602,LAYING
2512,WALKING_DOWNSTAIRS
196,STANDING
8476,LAYING
9726,WALKING_UPSTAIRS
4353,WALKING_UPSTAIRS
4741,SITTING
9670,WALKING
4968,LAYING
1444,WALKING_DOWNSTAIRS
4358,WALKING_UPSTAIRS
8819,WALKING
2459,LAYING
1205,SITTING
10135,STANDING
4258,LAYING
8537,WALKING_UPSTAIRS
5749,LAYING
707,STANDING
6169,WALKING
3113,SITTING
5189,WALKING
176,STANDING
9659,LAYING
9603,SITTING
4138,WALKING_DOWNSTAIRS
7430,LAYING
7070,WALKING
4828,WALKING_DOWNSTAIRS
9094,SITTING
2948,LAYING
8105,WALKING_DOWNSTAIRS
4301,LAYING
170,WALKING_UPSTAIRS
1871,WALKING_DOWNSTAIRS
1813,LAYING
5530,SITTING
10226,WALKING
549,STANDING
8984,WALKING
9585,STANDING
9100,LAYING
10022,WALKING
2610,LAYING
8908,SITTING
2288,LAYING
5112,SITTING
676,WALKING_UPSTAIRS
4639,WALKING
7212,SITTING
2984,WALKING
6551,LAYING
5047,WALKING_UPSTAIRS
2979,WALKING
4956,LAYING
8378,WALKING_DOWNSTAIRS
4975,LAYING
3744,WALKING
336,WALKING_DOWNSTAIRS
10143,SITTING
7237,LAYING
4288,LAYING
8292,SITTING
3919,WALKING
9348,WALKING_UPSTAIRS
4605,LAYING
1734,WALKING_DOWNSTAIRS
8655,WALKING
7639,WALKING_UPSTAIRS
10235,WALKING
2897,STANDING
3084,STANDING
9847,WALKING
5876,STANDING
7494,WALKING_UPSTAIRS
7365,STANDING
9947,STANDING
6427,WALKING_DOWNSTAIRS
3852,SITTING
7533,SITTING
4052,SITTING
3073,STANDING
5789,WALKING
9351,WALKING_DOWNSTAIRS
1045,SITTING
8448,SITTING
8504,WALKING
2260,SITTING
4454,LAYING
1208,SITTING
3126,SITTING
5464,WALKING_UPSTAIRS
534,STANDING
3909,WALKING
6208,WALKING_DOWNSTAIRS
6429,WALKING_DOWNSTAIRS
8137,STANDING
217,LAYING
8885,STANDING
9319,WALKING
8303,SITTING
5911,SITTING
1184,SITTING
9309,WALKING
6372,WALKING
3396,WALKING_DOWNSTAIRS
7602,WALKING
8926,LAYING
10173,SITTING
5386,WALKING
987,WALKING_UPSTAIRS
7435,WALKING
3066,STANDING
418,LAYING
1996,WALKING
4845,WALKING_UPSTAIRS
1230,LAYING
5227,WALKING_DOWNSTAIRS
414,LAYING
7401,SITTING
1672,LAYING
8589,SITTING
173,WALKING_UPSTAIRS
8799,LAYING
2705,STANDING
1328,STANDING
7987,STANDING
7003,SITTING
4732,SITTING
335,WALKING_DOWNSTAIRS
1273,WALKING_DOWNSTAIRS
3656,SITTING
5745,LAYING
5905,SITTING
233,SITTING
6276,STANDING
6857,SITTING
1247,WALKING
7714,LAYING
6749,WALKING
6510,SITTING
1274,WALKING_DOWNSTAIRS
3911,WALKING
5810,WALKING
4171,WALKING_UPSTAIRS
6558,WALKING
3403,WALKING_DOWNSTAIRS
5700,STANDING
2807,WALKING
2055,WALKING_UPSTAIRS
9594,STANDING
1902,WALKING_UPSTAIRS
6140,LAYING
